following_count,follower_count,answer_count,voteup_count,thanked_count
107,293,3,258,4
79,1,,,
52,281,39,5798,802
69,5,33,16,
52,5,,,
110,,,,
120,19,10,4,
3650,929,518,12447,1551
24,,1,,
11,,,,
27,,,,
60,1,,,
3425,51,1,1,
1,,,,
38,7,4,9,
2,,6,3,1
45,1,,,
1004,4,,,
1350,146,46,501,69
952,61824,52,117221,27097
,70624,94,134301,40503
1,34982,10,125843,10570
91,95818,69,125255,11193
15,63173,189,42997,10767
198,1331,89,1155,45
106,64,103,101,24
52,6,3,,
123,1680,31,856,73
282,35,7,47,4
10,5,,,
5,18742,47,13213,3224
120,284,58,449,90
105,470,87,4614,653
2,2,,,
50,34,2,48,8
54,10,,,
6,4,,,
784,105901,207,704697,96104
544,120653,126,58252,24110
8,336,164,13325,1272
37,43727,15,439,89
267,708,18,3700,921
104,115377,217,7512,1789
,20,3,17,5
22,9657,17,3627,1236
15,13041,106,9185,771
489,60622,1776,429403,65080
112,73235,104,219391,33354
10,25535,89,20382,8864
450,57703,198,193854,16560
3,7243,11,32959,2889
1465,76,101,1333,105
176,33026,101,56378,21306
349,27151,388,244390,30294
95,2,,,
3,785,7,10629,1766
5,126,14,809,92
1370,1048,3221,6705,1528
1009,25,,,
87,62,181,504,54
,129,894,10213,693
157,20,103,49,10
12,,1,,
287,28,17,47,3
,1,,,
319,24,17,71,19
45,12,26,84,11
12,4,1,,
12,5,12,9,1
301,6977,47,4293,710
99,3,17,2,2
596,190137,347,406984,69959
25,44,4,210,105
94,27,21,86,8
150,542,52,798,175
298,5693,90,17970,466
23,29383,47,28443,3024
131,59591,20,41032,11784
55,1547,93,2835,534
53,95,,,
42,5253,317,51184,4939
248,314865,135,226953,36884
109,4989,21,9712,910
18,62,20,751,166
60,395,93,1944,508
37,640206,159,775289,91281
156,77463,207,228841,30276
206,120695,614,440361,65111
119,3290,55,1270,566
87,8470,408,33749,5526
142,337814,1139,131889,40366
186,13210,76,28189,3857
,303804,20,143911,11533
1,1018,6,4475,1130
174,34755,788,69567,9643
18,5960,16,5136,713
275,16156,760,43600,8253
914,14,,,
132,13507,45,11286,3457
69,25,2,106,47
58,4,18,11,
23,3,4,1,
11,7,11,189,23
26,5,12,11,3
160,8794,98,12072,3636
168,9567,224,30130,2475
92,181,4,1906,695
,11865,61,14871,5502
37,57103,160,69904,6010
68,2,3,2,
548,61779,918,342034,43929
80,46,4,193,17
161,250,41,5737,470
2,,,,
60,1,,,
3364,43,,,
199,5,1,,
244,5,,,
44,,,,
1827,13626,2191,61723,7949
10,,,,
726,128386,132,205028,35001
,199553,188,601503,64701
488,5,,,
676,13098,68,33224,4248
65,107191,419,455773,78159
55,149,43,269,56
129,55,48,139,46
20,1967,9,34403,3065
5000,130,9,60,21
344,115685,48,152119,53884
3,,,,
25,29,2,5,1
17,3,4,3,
,581,3,96,
14,91572,81,60002,17767
1056,12,41,50,7
28,28,13,56,15
27,2645,47,29876,6135
23,21999,71,39314,8973
638,127646,348,213428,64324
2306,312,,,
717,238,16,1625,189
3258,80,61,32,6
643,230360,3927,335417,57652
18,10,8,89,13
5000,103,5,10,1
4,,,,
27,2,2,,
42,1148,25,3871,1065
138,6542,646,26500,3390
406,12,49,84,8
88,11287,25,10677,2779
51,2,1,,
54,1,,,
22,2,,,
5,,,,
44,3,24,14,5
,4,2,1,1
38,2,,,
74,98861,28,55405,21952
80,34359,31,84328,18437
2,,,,
12,2,,,
14,3,,,
1,,,,
1410,99,,,
44,7,6,12,
44,41,103,202,40
4,19,14,240,14
129,22,70,39,14
273,187575,311,404938,50346
24,,1,,
306,2,,,
2177,27,,,
14,26,23,232,55
87,65305,66,87269,25093
1,19614,28,27513,12221
10,1,,,
141,1,,,
7,1,1,,
4897,118,,,
266,159,25,119,15
64,9,11,42,7
,612,,,
22,,,,
54,,,,
415,14,,,
37,1125,17,2436,1243
6,,,,
15,2,1,,
239,163,53,3168,1180
4958,55,,,
174,2,1,1,2
29,53,2,4,
74,34,115,303,53
121,25,5,,
4968,67,,,
4965,75,,,
2,,,,
496,63667,214,232555,34705
19,,,,
132,5,9,7,1
22,,,,
18,1,2,,
23,,4,19,1
568,10686,170,127007,12522
227,1,,,
200,10,47,117,16
429,43,7,10,5
225,7,10,,
35,115710,143,38676,7059
561,25,38,8,1
6,1,1,,
128,226,65,464,52
122,25159,335,54582,8123
3,1,,,
215,3437,2,254,41
60,1,3,3,1
385,19,125,102,40
402,140,7,589,79
20,5,,,
69,45,13,1,1
23,,,,
14,,,,
9,,,,
453,40790,142,68771,14325
310,18,1,,1
12,2,,,
7,1,,,
120,15,4,8,1
,1,1,,
1,,,,
,4946,55,4310,888
9,3540,,,
5000,274,51,902,118
15,12733,11,38372,20509
34,1,5,,
309,24061,97,20755,7669
2416,500,419,2169,371
3,9449,21,7428,1274
91,20,17,83,13
432,10,7,68,17
8,5,2,11,1
12,5,2,11,4
98,,,,
2,,,,
17,68685,28,5922,2323
109,1,,,
8,1,,,
25,,,,
28,822,7,8457,1814
803,56,11,518,55
5,8,4,28,27
899,417,85,7726,843
254,2,9,8,3
1,,,,
146,47,221,836,95
831,103,544,1711,247
11,,7,7,
356,3259,64,1419,507
10,3,4,1,
385,9,1,1,
105,68,,,
1,,,,
36,81,36,187,42
12,11,56,103,28
3,83,,144,
215,154136,1563,824953,128018
873,33408,2802,122760,15994
346,6939,239,76205,9487
312,111954,89,332779,56202
11,1,2,12,2
367,17905,211,14265,5884
471,1586,7,1789,442
382,192634,431,25839,5420
120,2,7,2,
3,,,,
285,324,80,736,169
,2,,,
69,42178,27,162161,15078
123,,,,
47,4,,,
2,,,,
32,,,,
40,,,,
8,,1,,
10,5,,,
3,3691,3,4707,766
208,3,,,
391,134,15,2321,229
9,1,,,
105,34,38,164,42
176,101,63,235,62
15,9270,458,12713,2109
124,1126,12,1309,457
1,,,,
5,1,,,
104,2,4,,
5,,3,,
19,294669,29,80067,18008
108,3098,28,2412,870
7,,,,
221,27,,,
539,4,95,9,3
2,,,,
51,2,6,28,2
362,465,15,53,19
19,,,,
256,161,169,1769,294
10,4,2,,
1545,21731,34,5253,1379
